2026-08-23 13:05:15,866 - INFO - Logging initialized to /home/dali/Documents/ReMow-Rover-Tests/Repeat/Logs/readRecordedRun-2026-08-23_13-05-15.log
2026-08-23 13:05:15,868 - INFO - RoboClaw opened successfully on /dev/serial/by-id/usb-Basicmicro_Inc._USB_Roboclaw_2x15A-if00
2026-08-23 13:05:16,171 - INFO - Encoders reset to zero
2026-08-23 13:05:16,171 - INFO - Starting readRecordedRun with combination: 55
2026-08-23 13:05:16,171 - INFO - Selected most recent recording: 55_20260510-134004_GPSData.csv
2026-08-23 13:05:16,177 - INFO - GREEN_LED initialized on GPIO 17
2026-08-23 13:05:16,179 - INFO - ENU origin from first waypoint: 37.9008713333, -97.66418
2026-08-23 13:05:44,490 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (28.2s)
2026-08-23 13:05:44,667 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (28.4s)
2026-08-23 13:05:44,878 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (28.6s)
2026-08-23 13:05:45,078 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (28.8s)
2026-08-23 13:05:45,273 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (29.0s)
2026-08-23 13:05:45,475 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (29.2s)
2026-08-23 13:05:45,676 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (29.4s)
2026-08-23 13:05:45,879 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (29.6s)
2026-08-23 13:05:46,084 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (29.8s)
2026-08-23 13:05:46,275 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (30.0s)
2026-08-23 13:05:46,481 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (30.2s)
2026-08-23 13:05:46,679 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (30.4s)
2026-08-23 13:05:46,882 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (30.6s)
2026-08-23 13:05:47,086 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (30.8s)
2026-08-23 13:05:47,286 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (31.0s)
2026-08-23 13:05:47,481 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (31.2s)
2026-08-23 13:05:47,684 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (31.4s)
2026-08-23 13:05:47,889 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (31.6s)
2026-08-23 13:05:48,096 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (31.8s)
2026-08-23 13:05:48,273 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (32.0s)
2026-08-23 13:05:48,494 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (32.2s)
2026-08-23 13:05:48,682 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (32.4s)
2026-08-23 13:05:48,881 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (32.6s)
2026-08-23 13:05:49,090 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (32.8s)
2026-08-23 13:05:49,282 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (33.0s)
2026-08-23 13:05:49,481 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (33.2s)
2026-08-23 13:05:49,684 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (33.4s)
2026-08-23 13:05:49,883 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (33.6s)
2026-08-23 13:05:50,084 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (33.8s)
2026-08-23 13:05:50,285 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (34.0s)
2026-08-23 13:05:50,495 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (34.2s)
2026-08-23 13:05:50,683 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (34.4s)
2026-08-23 13:05:50,882 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (34.6s)
2026-08-23 13:05:51,090 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (34.8s)
2026-08-23 13:05:51,286 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (35.0s)
2026-08-23 13:05:51,486 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (35.2s)
2026-08-23 13:05:51,687 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (35.4s)
2026-08-23 13:05:51,882 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (35.6s)
2026-08-23 13:05:52,085 - INFO - STOP requested (signal 2) while waiting for GPS RTK fix - shutting down
2026-08-23 13:05:52,099 - INFO - Actuators commanded to neutral (1100) -- Repeat exit - returning to neutral
2026-08-23 13:05:52,102 - INFO - Shutdown: actuators confirmed at neutral (Repeat exit - returning to neutral)
2026-08-23 13:05:52,102 - INFO - GREEN_LED GPIO cleaned up successfully
